"level","level_name","field_of_study","academic_field"
"bachelor","bachelor","b communications public relations,marketing","marketing"
"bachelor","bachelor","bsc,chemistry general","chemistry"
"bachelor","bachelor","beng,electrical engineering","electrical engineering"
"bachelor","bachelor","bsc,computer science networking techniques and management of information systems","computer science"
"bachelor","bachelor","ba 2nd upper class hons,history","history"
"bachelor","bachelor","ba hons 2nd upper,english literature","english literature"
"bachelor","bachelor","ba,computer science","computer science"
"bachelor","bachelor","be,computer science","computer science"
"bachelor","bachelor","be cs,computer science","computer science"
"bachelor","bachelor","beng,electrical engineering","electrical engineering"
"bachelor","bachelor","bs,electrical engineering","electrical engineering"
"bachelor","bachelor","bs","business administration"
"bachelor","bachelor","bse,computer science in engineering","computer science"
"bachelor","bachelor","bsc,computer science","computer science"
"bachelor","bachelor","bsc e,electrical engineering","electrical engineering"
"bachelor","bachelor","b tech,human resources management personnel administration,general","human resources"
"bachelor","bachelor hons","ba hons,arabic and middle east studies","languages and literature"
"bachelor","bachelor hons","ba hons,human geography","human geography"
"bachelor","bachelor hons","ba hons,media studies","media studies"
"bachelor","bachelor","ba,asian studies","asian studies"
"bachelor","bachelor","ba,economics","economics"
"bachelor","bachelor","ba,economics and commerce","economics"
"bachelor","bachelor","ba,economics,political science,psychology","psychology"
"bachelor","bachelor","ba,english","languages and literature"
"bachelor","bachelor","ba,english and history","languages and literature"
"bachelor","bachelor","ba,english and world literature music","languages and literature"
"bachelor","bachelor","ba,english language and literature letters","languages and literature"
"bachelor","bachelor","ba,english literature journalism and mass media","journalism"
"bachelor","bachelor","ba,international relations","international relations"
"bachelor","bachelor","ba,political science","political science"
"bachelor","bachelor","bachelor hons in business management with communications","business management"
"bachelor","bachelor","bachelor,business management and accountancy","business management"
"bachelor","bachelor","bachelor graduate diploma,computer science engineering","computer science"
"bachelor","bachelor","bachelor arts and science,specialisation in communications studies,television production minor in political science","performing arts"
"bachelor","bachelor","bachelor business adminstration,business administration","business administration"
"bachelor","bachelor","bachelor business management,operations management analytics and strategic management","business management"
"bachelor","bachelor","bachelor communication and media studies","media studies"
"bachelor","bachelor","bachelor accountancy and business marketing","accounting"
"bachelor","bachelor","bachelor accountancy with hons,accountancy","accounting"
"bachelor","bachelor","bachelor accountancy,2nd major in analytics accounting","accounting"
"bachelor","bachelor","bachelor accountancy,accounting","accounting"
"bachelor","bachelor","bachelor accountancy,accounting and finance","accounting"
